Symbol,Date,RMSE,Best_Fit,Upper_Fit,Current,ATH,ATH_Potential
STRAX-USD,2021-12-18,0.2970591061778785,-128.20242280868536,5400.94536626226,1.4529235363006592,3.760396957397461,2.588158883413743
STX1-USD,2021-12-18,0.28945556678897577,78.20925100630191,93.90501509049378,2.1439568996429443,2.903601884841919,1.3543191494779985
SUSHI-USD,2021-12-18,4.345547126327499,-601.3264138503534,839.4350370658781,5.588854789733887,21.438846588134766,3.8359999310620085
SXP-USD,2021-12-18,0.37067333291762533,55.3076277366418,73.48257585960694,1.4721360206604004,3.6010470390319824,2.4461374414414183
SYS-USD,2021-12-18,0.3467537591403069,-10.652076560597779,31.11413373092575,0.7741376161575317,0.9792910218238831,1.2650089614358748
TFUEL-USD,2021-12-18,0.051564332007381315,-53.03625949591755,145.1816553970216,0.19636130332946777,0.5904620289802551,3.0070182819551747
THETA-USD,2021-12-18,1.3354054519728418,-57.99403121028996,1479.4401124520666,4.0892109870910645,14.282879829406738,3.4928204669544645
TOMO-USD,2021-12-18,0.5683943451581187,51.478898673778815,517.2100239286409,1.97262442111969,3.75539493560791,1.9037556746237045
TRUE-USD,2021-12-18,0.05503925553327127,-236.66280326785815,4445.286216738391,0.18073908984661102,3.3485000133514404,18.526706182891775
TRX-USD,2021-12-18,0.007567032187894541,113.18750936866464,1126.948974774285,0.08044803142547607,0.22055499255657196,2.741583462621898
TT-USD,2021-12-18,0.001958996134002022,126.61254234522738,679.5762085386351,0.010690324939787388,0.03757999837398529,3.5153279797997135
TUSD-USD,2021-12-18,0.004599688851117298,-0.4244608158398555,4.624309801843274,1.0009139776229858,1.0852299928665161,1.0842390226618353
TWT-USD,2021-12-18,0.19902365734975305,166.31017119985515,211.81836227982137,0.7036241292953491,1.51801598072052,2.1574245645054146
UBQ-USD,2021-12-18,0.09105997433156754,162.73645945631552,683.2116442049867,0.16478508710861206,6.867370128631592,41.6747064259839
UMA-USD,2021-12-18,3.345970663258252,147.33327185090425,523.5568069071431,8.916864395141602,32.84929656982422,3.6839515679662376
UNI3-USD,2021-12-18,7.480690323747143,-247.9605265049747,205.65733448364992,14.42151165008545,43.16450500488281,2.9930638377029677
USDC-USD,2021-12-18,0.002392085933303824,-1.0762666333794968,9.78202968990134,1.0002479553222656,1.0440289974212646,1.043770189047668
USDT-BTC,2021-12-18,1.41704411851451e-06,-95.2278090355548,84.36637293905342,2.1290186850819737e-05,0.0002119999990100041,9.957639192905509
USDT-USD,2021-12-18,0.002261263775338314,-0.12938679401242048,8.396979142728188,1.0004605054855347,1.2110999822616577,1.2105425207903608
VAL1-USD,2021-12-18,5.101662053909673,2712.0371888985087,3346.857877217702,0.41924700140953064,11.40996265411377,27.215370928719516
VERI-USD,2021-12-18,35.6694253118123,214.64396495397958,1794.0045962720294,98.82572937011719,466.70098876953125,4.7224644001529805
VET-USD,2021-12-18,0.031470056314869765,-0.7243286612405031,135.23842774764375,0.08433731645345688,0.25463199615478516,3.0192091337801643
VGX-USD,2021-12-18,0.6602917369474429,89.67945040810193,151.55478328389052,3.133439540863037,6.970392227172852,2.2245178616891423
VITE-USD,2021-12-18,0.01442954809762247,-163.36806145962206,1017.3901227374488,0.08331689983606339,0.3268109858036041,3.9225053554158444
VLX-USD,2021-12-19,0.07876555251229499,387.39812926301045,1968.5221458624294,0.2154664695262909,0.5158399939537048,2.394061568316377
VRA-USD,2021-12-19,0.011242666696938223,207.60052836323868,229.31921932557833,0.03242500126361847,0.08639399707317352,2.6644254034342754
VSYS-USD,2021-12-19,0.0030580989151870307,141.29654120553613,2038.8099171617657,0.018285728991031647,0.2703230082988739,14.78327762767651
VTC-USD,2021-12-19,0.25621553536035724,134.40636583748815,2243.2951819292284,0.49211323261260986,9.521380424499512,19.34794635362857
VTHO-USD,2021-12-19,0.0011882980107345716,89.33811945222496,164.23676836416453,0.005621155258268118,0.03833699971437454,6.820128239294746
WABI-USD,2021-12-19,0.042533382400059466,105.69899871644952,5042.142189422546,0.20625430345535278,5.1048197746276855,24.75012491427947
WAN-USD,2021-12-19,0.0721335233030983,-132.91889276868213,3550.2567384969466,0.6612454652786255,9.748419761657715,14.742512839086276
WAVES-USD,2021-12-19,6.617221788863721,-12.073771098822784,33.68308134418503,17.240232467651367,35.90397644042969,2.082569159539928
WAXP-USD,2021-12-19,0.1627294750187107,102.8076310844059,682.9052330072326,0.47834253311157227,4.6107001304626465,9.638908964399391
WICC-USD,2021-12-19,0.0396716991054917,68.00785810275323,172.74784476800335,0.18010497093200684,2.7018001079559326,15.001252291786633
WIN1-USD,2021-12-19,0.00011086199603269557,130.545267597897,131.16029510478953,0.0004970000009052455,0.0009580000187270343,1.9275654265233688
WOZX-USD,2021-12-19,0.05689137288722889,-582.7981949308015,2234.379950816037,0.2767525017261505,3.14880108833313,11.377678859968903
WTC-USD,2021-12-19,0.26945016853447007,344.3886096945164,8898.837534876939,0.9960380792617798,41.72829818725586,41.89428000401658
XAS-USD,2021-12-19,0.9305856069196906,136.4492931133005,879.2564225876738,1.0002400875091553,1.6931099891662598,1.6927035921770759
XCH-USD,2021-12-19,41.63246171518318,-505.55018829413586,2214.078194515968,96.47209930419922,1003.6459350585938,10.403483932632813
XCP-USD,2021-12-19,2.8511121426269153,102.2480151721303,741.7516999526894,13.177112579345703,88.9281997680664,6.748686347831298
XDC-USD,2021-12-19,0.00707479857848152,-260.5595566385932,120.71115770030411,0.08323848992586136,0.1833059936761856,2.2021782692051732
XEM-USD,2021-12-19,0.059002000520209444,131.93310437711543,2570.3256805602227,0.12981589138507843,1.8427200317382812,14.19487253892624
XHV-USD,2021-12-19,2.1981987122633586,-269.1854430401722,2041.4989137750342,4.976541519165039,28.6605167388916,5.759123404982713
XLM-USD,2021-12-19,0.06047976451280738,15.900576982423065,67.62081121950723,0.2547250986099243,0.8962270021438599,3.5184086964131693
XMR-USD,2021-12-19,36.75887254790219,23.551112813954433,79.21105180541399,179.71307373046875,483.5836181640625,2.6908649889842446
XNC-USD,2021-12-19,0.14322229985583057,-135.69762621169343,380.74818534929165,1.4263321161270142,3.433505058288574,2.407226914031586
XRP-USD,2021-12-19,0.2071152179930069,108.30787556626827,147.64861016122651,0.8285103440284729,3.377810001373291,4.076967808210259
XSN-USD,2021-12-19,0.05066492538298955,96.0085956327722,150.8845016030569,0.14527058601379395,0.7456089854240417,5.1325530231787155
XTZ-USD,2021-12-19,0.705838223075729,-68.3944978326704,1274.5847945667124,4.199531078338623,10.557900428771973,2.514066506908382
XVG-USD,2021-12-19,0.006914506525891066,238.4255616034258,1585.6675601985926,0.016823498532176018,0.25544100999832153,15.18358440783136
XWC-USD,2021-12-19,0.28167642453289743,162.92631701334642,770.5401480529771,0.8595497608184814,2.5946059226989746,3.018563951699941
YFI-USD,2021-12-19,7942.773203356031,-71.00217633844281,78.09570102541399,30636.7109375,82745.1875,2.7008508736072607
YOYOW-USD,2021-12-19,0.026053898793752837,147.87914299510086,2086.5225233929577,0.017718957737088203,0.5621470212936401,31.725738592230485
ZANO-USD,2021-12-19,0.3489811908070472,63.403797763004974,99.89414189743317,2.181683301925659,4.183495998382568,1.9175542090320865
ZEC-USD,2021-12-19,71.74929963384469,61.543899850631604,158.80917751238343,157.08567810058594,2044.469970703125,13.014999173852113
ZEL-USD,2021-12-19,0.32467424966615377,104.0219774988457,705.7879833881578,1.7253090143203735,2.777872085571289,1.61007220301665
ZEN-USD,2021-12-19,19.805436022511174,117.27234100936084,1026.6528947678105,64.89983367919922,147.5437774658203,2.2734076360677786
ZIL-USD,2021-12-19,0.011950800743450694,-188.43767823684456,1679.738143092165,0.06214796379208565,0.23761600255966187,3.823391597423849
ZNN-USD,2021-12-19,10.554726322397126,228.69153753059064,265.0254438460273,14.361145973205566,69.83843231201172,4.863012495124928
ZRX-USD,2021-12-19,0.11522137837729664,1.5225898886637834,1267.107708114363,0.7820966839790344,2.3674800395965576,3.0270938211266247
1INCH-USD,2021-12-20,0.749041502229483,35.63786749884954,104.51407671856083,2.3532521724700928,7.477116107940674,2.1773543844611916
AAVE-USD,2021-12-20,60.915441970044895,-297.9001158227751,1871.2774052047546,171.88462829589844,632.2664794921875,2.678435272313847
ABBC-USD,2021-12-20,0.07054937433765548,-2.160540320688953,45.0307281267595,0.16877971589565277,1.2908899784088135,6.648371556727231
ACH-USD,2021-12-20,0.012116446063494109,-23.278361389017522,304.6314685889881,0.058205943554639816,0.15684500336647034,1.6946561431348472
ACT-USD,2021-12-20,0.010811160570616188,855.1087735108707,28349.154278799888,0.006213468499481678,1.3813400268554688,221.31383758857052
ADA-BTC,2021-12-20,9.955753006190274e-07,23.614101198619974,994.3216550823128,2.645282438606955e-05,7.100000220816582e-05,1.6840234967709335
ADA-USD,2021-12-20,0.39441166659334104,32.40086463020457,1105.971086757457,1.2168899774551392,2.9682390689849854,1.4392008513312042
ADK-USD,2021-12-20,0.5754191219226661,285.33775308316535,14897.281041903589,0.5326259732246399,85.75920104980469,160.0120522861452
ADX-USD,2021-12-20,0.12718286068633874,80.55062526865808,337.4569542749544,0.5447947382926941,3.2708499431610107,5.0038207296409825
AE-USD,2021-12-20,0.10746728968645547,101.2721765965821,1612.8215543353683,0.13850422203540802,4.990970134735107,35.03478696453879
AEON-USD,2021-12-20,0.04957517499935357,320.70801982451906,5100.264753796592,0.20645220577716827,8.6012601852417,40.66223437944454
AION-USD,2021-12-20,0.023696835515700995,-1369.0520113457292,19458.750561404297,0.13786256313323975,10.523200035095215,75.33109232797942
ALGO-USD,2021-12-20,0.20034641813816434,132.5865984650327,147.83058002979539,1.284098505973816,3.2014119625091553,1.4931202299634445
AMB-USD,2021-12-20,0.016159944462691197,-93.8509995902601,15738.88296086306,0.028571251779794693,1.6011899709701538,55.04199575541522
AMP1-USD,2021-12-20,0.007171680870864976,-12.521141567054894,29.673802063213262,0.048576001077890396,0.10895399749279022,1.242959384781082
ANKR-USD,2021-12-20,0.021700033579653687,60.64964509608717,1585.5616466882843,0.09601099789142609,0.19430899620056152,1.0238201921439836
ANT-USD,2021-12-20,0.7378501479576133,34.989573156588264,95.39686439906181,5.234838962554932,13.09957504272461,1.5023835759660487
APL-USD,2021-12-20,0.00011958156008752723,-181.81352136286554,1003.2981872685696,0.0023163354489952326,0.009209999814629555,2.9761079590715664
AR-USD,2021-12-20,10.314036022181199,40.94390667593242,72.95418391616685,51.78169631958008,86.2794418334961,0.6662150521490635
ARDR-USD,2021-12-20,0.10676072331254383,193.49431701431635,709.2886851091702,0.21816952526569366,2.100980043411255,8.630034446161147
ARK-USD,2021-12-20,0.6639646413726454,215.1893323976838,660.7950683638253,1.1416438817977905,10.28600025177002,8.009815070854021
ARRR-USD,2021-12-20,0.15231409023464576,-509.2676034643573,9890.144499941522,1.162209153175354,13.031026840209961,10.212290666105122
ATOM1-USD,2021-12-20,2.066908281271546,-0.38810310441378393,960.9023831005421,21.753646850585938,44.542789459228516,1.0476010190460894
ATRI-USD,2021-12-20,0.03494239714265625,-129.38614542580697,104.83899697332984,0.06299374997615814,0.6563529968261719,9.419335205073331
AVA-USD,2021-12-20,0.3716786378656333,116.0350209892913,146.57714060233582,1.7025978565216064,6.247097015380859,2.6691559263111184
AVAX-BTC,2021-12-20,0.0003947824979742109,163.69322910221396,231.01825378096166,0.0022688780445605516,0.0024759999942034483,0.09128826916874377
AVAX-USD,2021-12-20,19.6117956512285,236.40776010203584,339.6372295769208,103.81848907470703,134.53103637695312,0.29582926486384875
AXEL-USD,2021-12-20,0.009006381934141753,-65.60642607966,765.0512595070378,0.16837401688098907,0.32836300134658813,0.9501999621395458
AXS-USD,2021-12-20,22.546747828742728,81.8338522479866,127.03025361970587,90.32290649414062,160.35926818847656,0.7753997785587126
BAL-USD,2021-12-20,4.177677709564083,-184.56394588875668,6386.587097115044,17.175830841064453,71.7515640258789,3.177472675984516
BAND-USD,2021-12-20,0.6334257820759338,-140.69518189944375,3758.717239429378,4.849456787109375,21.105472564697266,3.3521312780431325
BAT-USD,2021-12-20,0.2465846106356624,202.73929975246315,1010.7935710245525,1.061137318611145,1.7662999629974365,0.6645347704001532
BCD-USD,2021-12-20,0.6929904141044522,231.414278902655,3223.912830007905,1.2241266965866089,94.2217025756836,75.97054793299924
BCH-USD,2021-12-20,71.66074275342484,110.14363460378011,2127.9168680549055,422.11322021484375,3923.070068359375,8.293881073809162
BCN-USD,2021-12-20,0.00018272977751431757,366.48280072164346,1077.4487799208232,0.00024688304984010756,0.03013399988412857,121.05779175056647
BEAM-USD,2021-12-20,0.09869691400961648,-476.7006235181828,2676.6407469311853,0.5697240829467773,2.9414210319519043,4.162886948254014
BEPRO-USD,2021-12-20,0.001111727699628657,-93.35831018866571,3501.0637901930736,0.005515208467841148,0.0287650004029274,4.215578082071493
BHP-USD,2021-12-20,0.04156154679675297,-15.513867548153371,936.0176628193052,0.41619837284088135,1.7303999662399292,3.1576327039161347
BIP-USD,2021-12-20,0.0003197561806604586,6.085877110821447,4700.378059818867,0.0035278964787721634,0.024163000285625458,5.849123955597207
BLOCK-USD,2021-12-20,0.5757814668721661,106.24702196364888,1172.7494588958175,0.9071838855743408,57.164100646972656,62.01269407004722
BNB-BTC,2021-12-20,0.0005372494149314626,190.07527800557455,753.9044221592216,0.011173670180141926,0.012114999815821648,0.08424533931139933
